@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','13','Chemical','Compositions','of','Glass','Frits','Weight','Percent','Frit','Number','Oxide','18','21*','131**','165','Si02','52.5','57.9','68.0','Na','0','22.5','18.5','17.7','13.0','2','TiO','10.0','1.0','B','14.7','3','Li20','4.0','5.7','7.0','MgO','2.0','Zr0','0.5','La','CaO','5.0','*','used','in','leachability','tests','for','Figures','9','to','12.','**','reference','frit','is','131.','Current'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
475.0,194.0,153.0,0.0,104.0,0.0,121.0,31.0,'TABLE','0'
628.0,194.0,185.0,153.0,104.0,0.0,42.0,33.0,'13','0'
475.0,298.0,225.0,185.0,104.0,104.0,193.0,35.0,'Chemical','0'
700.0,298.0,329.0,225.0,246.0,104.0,298.0,42.0,'Compositions','0'
1029.0,298.0,75.0,329.0,246.0,104.0,48.0,33.0,'of','0'
1104.0,298.0,152.0,75.0,246.0,104.0,122.0,33.0,'Glass','0'
1256.0,298.0,568.0,152.0,246.0,104.0,120.0,36.0,'Frits','0'
698.0,401.0,181.0,568.0,246.0,246.0,147.0,42.0,'Weight','1'
879.0,401.0,184.0,181.0,52.0,246.0,169.0,30.0,'Percent','1'
703.0,452.0,125.0,184.0,52.0,52.0,90.0,33.0,'Frit','1'
828.0,452.0,357.0,125.0,234.0,52.0,144.0,31.0,'Number','1'
475.0,504.0,232.0,357.0,234.0,234.0,118.0,32.0,'Oxide','1'
707.0,504.0,174.0,232.0,101.0,234.0,41.0,31.0,'18','1'
881.0,504.0,181.0,174.0,101.0,234.0,69.0,31.0,'21*','1'
1062.0,504.0,201.0,181.0,101.0,234.0,115.0,32.0,'131**','1'
1263.0,504.0,792.0,201.0,101.0,234.0,63.0,33.0,'165','1'
478.0,604.0,225.0,792.0,101.0,101.0,94.0,49.0,'Si02','1'
703.0,604.0,178.0,225.0,79.0,101.0,92.0,33.0,'52.5','1'
881.0,604.0,178.0,178.0,79.0,101.0,92.0,33.0,'52.5','1'
1059.0,604.0,201.0,178.0,79.0,101.0,93.0,33.0,'57.9','1'
1260.0,604.0,787.0,201.0,79.0,101.0,91.0,32.0,'68.0','1'
477.0,682.0,72.0,787.0,79.0,79.0,45.0,29.0,'Na','1'
549.0,682.0,154.0,72.0,58.0,79.0,22.0,28.0,'0','1'
703.0,682.0,179.0,154.0,58.0,79.0,91.0,32.0,'22.5','1'
882.0,682.0,177.0,179.0,58.0,79.0,90.0,32.0,'18.5','1'
