@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'Columns','Quantity','Format','66-70','Stiffness','matrix','option','[SMOPT]','15','EQ.1:','Hughes','B','(default)','EQ.2:','old','NIKE2D','formulation','71-75','Number','of','eigenvalues','and','eigenvectors','to','[NEIG]','be','extracted','76-80','Load','curve','number','for','magnetic','body','force','loads','if','any','[MBFL]','If','a','frequency','analysis','is','desired,','will','compute','the','desired','terminate.','The','normalized','are','written','into','binary','plotfile.','ORION','plot','mode','shapes','user','requests','deformed','shape','plots.','circular','corresponding','printed','in','place','time','word','on','each','plot.','Card','3','1-5','Geometry','type','[PLANE]','EQ.0:','axisymmetric','plane','strain','6-10','Bandwidth','minimization','flag','[BWMO]','bandwidth','not','minimized'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
339.0,274.0,908.0,0.0,101.0,0.0,175.0,36.0,'Columns','0'
1247.0,274.0,926.0,908.0,101.0,0.0,196.0,42.0,'Quantity','0'
2173.0,274.0,1812.0,926.0,101.0,0.0,149.0,36.0,'Format','0'
364.0,371.0,327.0,1812.0,101.0,101.0,125.0,35.0,'66-70','0'
691.0,371.0,254.0,327.0,398.0,101.0,226.0,39.0,'Stiffness','0'
945.0,371.0,177.0,254.0,398.0,101.0,149.0,38.0,'matrix','0'
1122.0,371.0,177.0,177.0,398.0,101.0,147.0,43.0,'option','0'
1299.0,371.0,876.0,177.0,398.0,101.0,165.0,45.0,'[SMOPT]','0'
2175.0,371.0,1439.0,876.0,398.0,101.0,46.0,35.0,'15','0'
742.0,494.0,153.0,1439.0,398.0,398.0,118.0,39.0,'EQ.1:','0'
895.0,494.0,177.0,153.0,155.0,398.0,150.0,44.0,'Hughes','0'
1072.0,494.0,55.0,177.0,155.0,398.0,24.0,41.0,'B','0'
1127.0,494.0,416.0,55.0,155.0,398.0,215.0,44.0,'(default)','0'
742.0,649.0,155.0,416.0,155.0,155.0,121.0,39.0,'EQ.2:','0'
897.0,649.0,102.0,155.0,403.0,155.0,75.0,36.0,'old','0'
999.0,649.0,179.0,102.0,403.0,155.0,151.0,37.0,'NIKE2D','0'
1178.0,649.0,824.0,179.0,403.0,155.0,268.0,38.0,'formulation','0'
