@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'4.4.86','TABLE','4.4.56.','Wastes','Processed','in','the','Incineration','Facility','at','Mixed','Oxide','Fuel','Fabrication','Plant','Composition,','Density,','Volume,','Source','wt%','kg/m-3','m3/yr','HEPA','filters','Metal','60','40','Glass','Main','plant','combustible','trash','PVC','33','120','200','Cellulosics','30','Polyethylene','18','Latex','9','Neoprene','Styrene','1','Secondary','trash)','12','11','a.','From','primary','waste','characterization','Table','3.3.38','and','secondary','3.5.2.','b.','Waste','generated','by','all','treatment','facilities','with','MOX','FFP.','4.4.57.','Radionuclide','Content','of','Treated','Facility(a)','Primary','Combustible','Ventilation','Trash','Filters','Total','Actinide','content,','Ci/yr','239','2','-4','Pu','1.6','x','10','3.6','6.0','5.2','241','4','5','-1','6.9','2.8','2.3','3','-2','Other','2.6','1.0','8.6','Am','1.1','2.7','7.6','3.8','actinides','o','100','-6','daughters','2.4','5.6','9.6','8.4','Based','on','3.5.2,','assuming','400','MTHM/yr','fabricated','year','after','purification.','plutonium'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1189.0,143.0,570.0,0.0,570.0,0.0,119.0,31.0,'4.4.86','0'
632.0,263.0,124.0,570.0,570.0,570.0,99.0,29.0,'TABLE','0'
756.0,263.0,185.0,124.0,312.0,570.0,134.0,30.0,'4.4.56.','0'
941.0,263.0,145.0,185.0,312.0,570.0,118.0,28.0,'Wastes','0'
1086.0,263.0,209.0,145.0,312.0,570.0,180.0,29.0,'Processed','0'
1295.0,263.0,61.0,209.0,312.0,570.0,33.0,29.0,'in','0'
1356.0,263.0,83.0,61.0,312.0,570.0,56.0,29.0,'the','0'
1439.0,263.0,267.0,83.0,312.0,570.0,241.0,31.0,'Incineration','0'
1706.0,263.0,767.0,267.0,312.0,570.0,161.0,35.0,'Facility','0'
941.0,304.0,62.0,767.0,312.0,312.0,37.0,26.0,'at','0'
1003.0,304.0,81.0,62.0,151.0,312.0,57.0,29.0,'the','0'
1084.0,304.0,126.0,81.0,151.0,312.0,99.0,29.0,'Mixed','0'
1210.0,304.0,124.0,126.0,151.0,312.0,98.0,30.0,'Oxide','0'
1334.0,304.0,104.0,124.0,151.0,312.0,71.0,27.0,'Fuel','0'
1438.0,304.0,247.0,104.0,151.0,312.0,220.0,29.0,'Fabrication','0'
1685.0,304.0,625.0,247.0,151.0,312.0,98.0,30.0,'Plant','0'
1066.0,388.0,393.0,625.0,151.0,151.0,239.0,36.0,'Composition,','0'
1459.0,388.0,247.0,393.0,333.0,151.0,156.0,38.0,'Density,','0'
1706.0,388.0,972.0,247.0,333.0,151.0,136.0,32.0,'Volume,','0'
735.0,421.0,411.0,972.0,333.0,333.0,120.0,29.0,'Source','0'
1146.0,421.0,355.0,411.0,93.0,333.0,60.0,29.0,'wt%','0'
1501.0,421.0,224.0,355.0,93.0,333.0,97.0,39.0,'kg/m-3','0'
1725.0,421.0,1054.0,224.0,93.0,333.0,101.0,45.0,'m3/yr','0'
674.0,491.0,103.0,1054.0,93.0,93.0,78.0,28.0,'HEPA','0'
777.0,491.0,225.0,103.0,336.0,93.0,138.0,30.0,'filters','0'
1002.0,491.0,332.0,225.0,336.0,93.0,95.0,29.0,'Metal','0'
1334.0,491.0,186.0,332.0,336.0,93.0,37.0,28.0,'60','0'
1520.0,491.0,520.0,186.0,336.0,93.0,37.0,29.0,'40','0'
1004.0,553.0,330.0,520.0,336.0,336.0,97.0,29.0,'Glass','0'
1334.0,553.0,664.0,330.0,337.0,336.0,39.0,29.0,'40','0'
673.0,616.0,105.0,664.0,337.0,337.0,78.0,28.0,'Main','0'
778.0,616.0,113.0,105.0,43.0,337.0,98.0,35.0,'plant','0'
674.0,658.0,40.0,113.0,43.0,43.0,223.0,29.0,'combustible','0'
674.0,698.0,332.0,40.0,40.0,40.0,98.0,29.0,'trash','0'
1006.0,698.0,329.0,332.0,337.0,40.0,56.0,29.0,'PVC','0'
1335.0,698.0,167.0,329.0,337.0,40.0,37.0,29.0,'33','0'
1502.0,698.0,247.0,167.0,337.0,40.0,57.0,28.0,'120','0'
1749.0,698.0,747.0,247.0,337.0,40.0,57.0,28.0,'200','0'
1005.0,760.0,330.0,747.0,337.0,337.0,221.0,30.0,'Cellulosics','0'
1335.0,760.0,336.0,330.0,62.0,337.0,36.0,29.0,'30','0'
1005.0,822.0,331.0,336.0,62.0,62.0,243.0,37.0,'Polyethylene','0'
1336.0,822.0,336.0,331.0,64.0,62.0,37.0,29.0,'18','0'
1006.0,885.0,351.0,336.0,64.0,64.0,97.0,27.0,'Latex','0'
1357.0,885.0,357.0,351.0,62.0,64.0,15.0,27.0,'9','0'
1006.0,947.0,351.0,357.0,62.0,62.0,159.0,35.0,'Neoprene','0'
1357.0,947.0,358.0,351.0,62.0,62.0,15.0,27.0,'9','0'
1005.0,1008.0,353.0,358.0,62.0,62.0,140.0,35.0,'Styrene','0'
1358.0,1008.0,686.0,353.0,336.0,62.0,9.0,27.0,'1','0'
675.0,1069.0,41.0,686.0,336.0,336.0,182.0,36.0,'Secondary','0'
675.0,1110.0,39.0,41.0,41.0,41.0,223.0,38.0,'combustible','0'
675.0,1149.0,332.0,39.0,39.0,39.0,157.0,31.0,'trash)','0'
1007.0,1149.0,330.0,332.0,336.0,39.0,55.0,28.0,'PVC','0'
1337.0,1149.0,166.0,330.0,336.0,39.0,36.0,28.0,'33','0'
1503.0,1149.0,269.0,166.0,336.0,39.0,57.0,29.0,'120','0'
1772.0,1149.0,770.0,269.0,336.0,39.0,35.0,29.0,'12','0'
1005.0,1212.0,331.0,770.0,336.0,336.0,221.0,29.0,'Cellulosics','0'
1336.0,1212.0,336.0,331.0,63.0,336.0,36.0,28.0,'30','0'
1006.0,1274.0,331.0,336.0,63.0,63.0,243.0,36.0,'Polyethylene','0'
1337.0,1274.0,337.0,331.0,62.0,63.0,36.0,28.0,'18','0'
1006.0,1336.0,331.0,337.0,62.0,62.0,98.0,27.0,'Latex','0'
1337.0,1336.0,337.0,331.0,63.0,62.0,29.0,29.0,'11','0'
1006.0,1399.0,351.0,337.0,63.0,63.0,160.0,34.0,'Neoprene','0'
1357.0,1399.0,357.0,351.0,61.0,63.0,16.0,27.0,'9','0'
1006.0,1460.0,352.0,357.0,61.0,61.0,140.0,36.0,'Styrene','0'
1358.0,1460.0,694.0,352.0,353.0,61.0,9.0,27.0,'1','0'
676.0,1584.0,63.0,694.0,353.0,353.0,31.0,22.0,'a.','0'
739.0,1584.0,103.0,63.0,75.0,353.0,79.0,28.0,'From','0'
842.0,1584.0,163.0,103.0,75.0,353.0,140.0,36.0,'primary','0'
1005.0,1584.0,125.0,163.0,75.0,353.0,101.0,27.0,'waste','0'
1130.0,1584.0,352.0,125.0,75.0,353.0,326.0,29.0,'characterization','0'
1482.0,1584.0,124.0,352.0,75.0,353.0,99.0,30.0,'Table','0'
1606.0,1584.0,144.0,124.0,75.0,353.0,120.0,29.0,'3.3.38','0'
1750.0,1584.0,1013.0,144.0,75.0,353.0,59.0,28.0,'and','0'
738.0,1625.0,205.0,1013.0,75.0,75.0,182.0,35.0,'secondary','0'
943.0,1625.0,125.0,205.0,74.0,75.0,101.0,26.0,'waste','0'
1068.0,1625.0,352.0,125.0,74.0,75.0,325.0,30.0,'characterization','0'
1420.0,1625.0,124.0,352.0,74.0,75.0,99.0,29.0,'Table','0'
1544.0,1625.0,869.0,124.0,74.0,75.0,113.0,29.0,'3.5.2.','0'
676.0,1665.0,60.0,869.0,74.0,74.0,31.0,29.0,'b.','0'
736.0,1665.0,125.0,60.0,75.0,74.0,100.0,28.0,'Waste','0'
861.0,1665.0,207.0,125.0,75.0,74.0,181.0,37.0,'generated','0'
1068.0,1665.0,61.0,207.0,75.0,74.0,37.0,36.0,'by','0'
1129.0,1665.0,83.0,61.0,75.0,74.0,52.0,29.0,'all','0'
1212.0,1665.0,81.0,83.0,75.0,74.0,59.0,29.0,'the','0'
1293.0,1665.0,127.0,81.0,75.0,74.0,101.0,26.0,'waste','0'
1420.0,1665.0,206.0,127.0,75.0,74.0,181.0,28.0,'treatment','0'
1626.0,1665.0,892.0,206.0,75.0,74.0,201.0,30.0,'facilities','0'
736.0,1710.0,106.0,892.0,75.0,75.0,80.0,28.0,'with','0'
842.0,1710.0,81.0,106.0,204.0,75.0,55.0,30.0,'the','0'
923.0,1710.0,85.0,81.0,204.0,75.0,57.0,29.0,'MOX','0'
1008.0,1710.0,452.0,85.0,204.0,75.0,70.0,28.0,'FFP.','0'
573.0,1832.0,123.0,452.0,204.0,204.0,100.0,28.0,'TABLE','0'
696.0,1832.0,188.0,123.0,313.0,204.0,135.0,29.0,'4.4.57.','0'
884.0,1832.0,268.0,188.0,313.0,204.0,242.0,30.0,'Radionuclide','0'
1152.0,1832.0,164.0,268.0,313.0,204.0,140.0,30.0,'Content','0'
1316.0,1832.0,62.0,164.0,313.0,204.0,38.0,28.0,'of','0'
1378.0,1832.0,124.0,62.0,313.0,204.0,100.0,27.0,'Waste','0'
