@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'319','12.8.3.1','Description','Six','properties','are','required','for','each','nuclide','included','in','the','file.','The','file','is','organized','by','ascending','numerical','order','of','codes.','There','two','records','per','nuclide;','first','code,','second','contains','properties.','number','and','particular','identification','nuclides','not','dependent','on','data','contained','other','files.','However,','absence','either','inventory','(ORIGEN2','file)','or','transport','a','may','lead','to','zero','values','concentration','output,','premature','termination','execution.','12.8.3.2','Variables','Columns','Format','Variable','Units','3','1-10','F10.0','WCSAT','Saturation','gm/m','(or','mg/i)','2','11-20','WDBULK','Diffusion','coefficient','m','/sec','water','21-30','WDBFL','backfill','31-40','WKDBF','Distribution','ml/gm','g/m2-sec1/2','41-50','WDIFFK','Leach','rate','(for','diffusion)','g/m2/sec','51-60','WDISSK','dissolution)'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
1268.0,156.0,917.0,0.0,917.0,0.0,66.0,31.0,'319','0'
368.0,328.0,242.0,917.0,917.0,917.0,188.0,33.0,'12.8.3.1','0'
610.0,328.0,194.0,242.0,191.0,917.0,272.0,39.0,'Description','0'
487.0,477.0,99.0,194.0,191.0,191.0,69.0,31.0,'Six','0'
586.0,477.0,276.0,99.0,147.0,191.0,244.0,39.0,'properties','0'
862.0,477.0,105.0,276.0,147.0,191.0,70.0,22.0,'are','0'
967.0,477.0,228.0,105.0,147.0,191.0,193.0,39.0,'required','0'
1195.0,477.0,101.0,228.0,147.0,191.0,69.0,33.0,'for','0'
1296.0,477.0,126.0,101.0,147.0,191.0,96.0,31.0,'each','0'
1422.0,477.0,207.0,126.0,147.0,191.0,172.0,32.0,'nuclide','0'
1629.0,477.0,227.0,207.0,147.0,191.0,192.0,31.0,'included','0'
1856.0,477.0,77.0,227.0,147.0,191.0,44.0,30.0,'in','0'
1933.0,477.0,103.0,77.0,147.0,191.0,68.0,31.0,'the','0'
2036.0,477.0,175.0,103.0,147.0,191.0,112.0,34.0,'file.','0'
2211.0,477.0,1851.0,175.0,147.0,191.0,70.0,32.0,'The','0'
362.0,553.0,129.0,1851.0,147.0,147.0,93.0,31.0,'file','0'
491.0,553.0,77.0,129.0,77.0,147.0,42.0,30.0,'is','0'
568.0,553.0,251.0,77.0,77.0,147.0,220.0,39.0,'organized','0'
819.0,553.0,81.0,251.0,77.0,147.0,48.0,38.0,'by','0'
900.0,553.0,253.0,81.0,77.0,147.0,221.0,39.0,'ascending','0'
1153.0,553.0,256.0,253.0,77.0,147.0,222.0,31.0,'numerical','0'
1409.0,553.0,153.0,256.0,77.0,147.0,121.0,31.0,'order','0'
1562.0,553.0,79.0,153.0,77.0,147.0,45.0,30.0,'of','0'
1641.0,553.0,204.0,79.0,77.0,147.0,170.0,32.0,'nuclide','0'
1845.0,553.0,201.0,204.0,77.0,147.0,138.0,30.0,'codes.','0'
