@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'TABLE','1Direct','Tension','Tests','in','Boiling','42%','by','Weight','MgC12','(12%','Cr','Steels)','No.','of','Specimens','Cracked/','Time','to','Steel','Hardness','Load,','psi','Tested','Fracture,','hr.','A','Rb','80','30,000','0/5','N.C.','90','0/2','Re','19','70,000','18','515','2-4','Rc','34','90,000','0/4','9/9','12-28','NOTES:','means','no','cracks','were','observed','200','hr.,','the','total','test','duration.','contained','0.38%','Ni,','B','1.76%','Ni.','0.13%','C,','.05%','C.','2Room','Temperature','Tensile','Strength','Yield','Strength,','0.2%','Offset,','40,000','75,000','R,90','50,000','85,000','110,000','115,000','145,000','124,000','/50,000','solution','annealed','(705','C)','condition.','was','with','anodic','polarization.','As','can','be','seen','from','Figures','1,','2,','hardened','annealing','C),','air','cooling,','3,','and','4','have','more','a','transgrantdar','austenitizing','(982','oil','quenching','tempering','at','649','appearance,','as','well','much','branching.','5','538','6','are','examples','other','media','or','under','cathodic','above','but','tempered','593','510','C','order','obtain','hardness','1','believe','that','these','data','do','show','although','12%','R,','34.','chromium','martensitic','steels','susceptible','hydrogen','temperatures,','two','respond','slightly','embrittlement','accelerated','cracking,','differently.','Likewise,','mechanical','properties','some-','presence','Ni','alloy','leads','unique','cracking','what','different','Table','2.','The','structures','behavior','boiling','MgCl2','without','any','applied','current.','fully','when','tempered.','References','for','Scharfstein','Discussion','In','determine','whether','had','1.','L.','R.','M.','Eisenbrown.','Nature,','188,','4750,','responses','chemical','electro-','572-573','(1960)','November','12.','polarization,','wires','prepared','each','steel','A.','P.','Bond.','Minutes','Subcommittee','Corrosion','Resistance','tests','conducted','apparatus','resembling','van','High','Alloy','Weldments,','Alloys','Committee,','Welding','Rooyen's.3','Media','evaluated','(besides','MgC12)','Research','Council,',''9/26/66','3/8/67.','addition,','Reports','included:','dilute','HCI','+','Se02,','H2','SO4','Progress,','30211,','10,','p.','22','(1967)','(NH.,',')2S,','3%','NaCI,','October.','acetic','acid','3.','D.','Rooyen.','First','International','Congress','on','Metallic','Cono-','NaC1','CS2.','Although','many','performed','sion,','Butterworth','Co.,','London,','134','(1962).','anodic,','currents','(at','several','tensile','loads),','only','little','differences','found','W.','Staehle','Latanision:','Bexcept','currents.','We','this','enhanced','susceptibility','Only','appeared','stress','corrosion','which','results','nickel','is','accord','weight','an','trends','predicted','nipkel-enrichment','proposal.','environments','purported','accelerate','(such','Louthan,','Jr.,','Savannah','River','Laboratory:','(NH4)2S)','acted','quickly','upon','both','Stress','austenitic','stainless','did','crack,','fracture','paths','very','similar.','has','been','study','Laboratory','fact,','crack','path','all','envirorunents,','steels,','years.','Many','our','observations','general','extremely','follow','an_intergranular','agreement','conclusions','Prof.','Staehle;','however,','associated','prior','austenite','grains.','one','major','studies','Fe,','Cr,','Mn,','N','exception,','tested','not','reference','cited','his','MgC12,','either','current','review','(Reference','117','review).','298'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
666.0,169.0,128.0,0.0,576.0,0.0,112.0,26.0,'TABLE','0'
794.0,169.0,139.0,128.0,576.0,0.0,129.0,26.0,'1Direct','0'
933.0,169.0,126.0,139.0,576.0,0.0,115.0,27.0,'Tension','0'
1059.0,169.0,85.0,126.0,576.0,0.0,76.0,26.0,'Tests','0'
1144.0,169.0,39.0,85.0,576.0,0.0,27.0,25.0,'in','0'
1183.0,169.0,110.0,39.0,576.0,0.0,100.0,33.0,'Boiling','0'
1293.0,169.0,72.0,110.0,576.0,0.0,61.0,27.0,'42%','0'
1365.0,169.0,47.0,72.0,576.0,0.0,36.0,31.0,'by','0'
1412.0,169.0,113.0,47.0,576.0,0.0,101.0,33.0,'Weight','0'
1525.0,169.0,192.0,113.0,576.0,0.0,89.0,34.0,'MgC12','0'
1717.0,169.0,86.0,192.0,576.0,0.0,75.0,30.0,'(12%','0'
1803.0,169.0,44.0,86.0,576.0,0.0,33.0,25.0,'Cr','0'
1847.0,169.0,622.0,44.0,576.0,0.0,97.0,31.0,'Steels)','0'
1233.0,267.0,61.0,622.0,576.0,576.0,52.0,25.0,'No.','0'
1294.0,267.0,42.0,61.0,521.0,576.0,33.0,26.0,'of','0'
1336.0,267.0,163.0,42.0,521.0,576.0,155.0,32.0,'Specimens','0'
1499.0,267.0,222.0,163.0,521.0,576.0,133.0,30.0,'Cracked/','0'
1721.0,267.0,87.0,222.0,521.0,576.0,76.0,26.0,'Time','0'
1808.0,267.0,1095.0,87.0,521.0,576.0,31.0,22.0,'to','0'
714.0,308.0,132.0,1095.0,521.0,521.0,71.0,26.0,'Steel','0'
846.0,308.0,195.0,132.0,87.0,521.0,131.0,26.0,'Hardness','0'
1041.0,308.0,93.0,195.0,87.0,521.0,83.0,31.0,'Load,','0'
1134.0,308.0,114.0,93.0,87.0,521.0,39.0,32.0,'psi','0'
1248.0,308.0,62.0,114.0,87.0,521.0,51.0,26.0,'No.','0'
1310.0,308.0,41.0,62.0,87.0,521.0,32.0,26.0,'of','0'
1351.0,308.0,166.0,41.0,87.0,521.0,155.0,32.0,'Specimens','0'
1517.0,308.0,178.0,166.0,87.0,521.0,97.0,26.0,'Tested','0'
1695.0,308.0,144.0,178.0,87.0,521.0,133.0,30.0,'Fracture,','0'
1839.0,308.0,1107.0,144.0,87.0,521.0,39.0,26.0,'hr.','0'
736.0,392.0,132.0,1107.0,87.0,87.0,23.0,25.0,'A','0'
868.0,392.0,53.0,132.0,139.0,87.0,41.0,38.0,'Rb','0'
921.0,392.0,136.0,53.0,139.0,87.0,36.0,27.0,'80','0'
1057.0,392.0,348.0,136.0,139.0,87.0,100.0,30.0,'30,000','0'
1405.0,392.0,342.0,348.0,139.0,87.0,46.0,32.0,'0/5','0'
1747.0,392.0,881.0,342.0,139.0,87.0,63.0,27.0,'N.C.','0'
868.0,434.0,52.0,881.0,139.0,139.0,41.0,38.0,'Rb','0'
920.0,434.0,136.0,52.0,140.0,139.0,36.0,26.0,'90','0'
1056.0,434.0,349.0,136.0,140.0,139.0,101.0,31.0,'30,000','0'
1405.0,434.0,342.0,349.0,140.0,139.0,49.0,32.0,'0/2','0'
1747.0,434.0,1013.0,342.0,140.0,139.0,64.0,27.0,'N.C.','0'
735.0,475.0,133.0,1013.0,140.0,140.0,23.0,25.0,'A','0'
868.0,475.0,52.0,133.0,139.0,140.0,37.0,39.0,'Re','0'
920.0,475.0,136.0,52.0,139.0,140.0,33.0,28.0,'19','0'
1056.0,475.0,347.0,136.0,139.0,140.0,101.0,32.0,'70,000','0'
1403.0,475.0,345.0,347.0,139.0,140.0,48.0,32.0,'0/5','0'
1748.0,475.0,883.0,345.0,139.0,140.0,63.0,27.0,'N.C.','0'
867.0,517.0,53.0,883.0,139.0,139.0,39.0,38.0,'Re','0'
920.0,517.0,135.0,53.0,139.0,139.0,32.0,27.0,'18','0'
1055.0,517.0,349.0,135.0,139.0,139.0,102.0,30.0,'70,000','0'
1404.0,517.0,354.0,349.0,139.0,139.0,47.0,31.0,'515','0'
1758.0,517.0,1024.0,354.0,139.0,139.0,44.0,26.0,'2-4','0'
735.0,560.0,132.0,1024.0,139.0,139.0,22.0,25.0,'A','0'
867.0,560.0,51.0,132.0,139.0,139.0,38.0,38.0,'Rc','0'
918.0,560.0,137.0,51.0,139.0,139.0,33.0,27.0,'34','0'
1055.0,560.0,349.0,137.0,139.0,139.0,101.0,30.0,'90,000','0'
1404.0,560.0,344.0,349.0,139.0,139.0,48.0,33.0,'0/4','0'
