@RELATION RapidMinerData

@ATTRIBUTE 'x' real
@ATTRIBUTE 'y' real
@ATTRIBUTE 'x+1 dist' real
@ATTRIBUTE 'x-1 dist' real
@ATTRIBUTE 'y+1 dist' real
@ATTRIBUTE 'y-1 dist' real
@ATTRIBUTE 'width' real
@ATTRIBUTE 'height' real
@ATTRIBUTE 'word' {'LEACH','TEST-1-DATi','(GLASS','ONLY),','TUFF','WATER','TEST','PARAMETERS','TU83-I40-3','TU83-140-7','7U83-I40-28','DATE','RUN','BEGAN','15-JAN-83','21-JAN-83','ENDED','18-JAN-83','28-JAN-83','18-FEB-83','SPECIMEN','SA','mm2','194.440','187.800','202.600','IN1.1..','WT.(gm)','0.483','0.397','0.462','FIN'L','it.','(gin)','0.396','0.461','WEIGHT','CHANGE(gm)','0.000','LEACHANT','INI'L','VOL.','19.420','18.560','20.260','FIN1L','19.400','20.220','VOLUME','CHANGE','0.020','0.040','pH','AT','23','C','7.310','AT-23','7.480','8.030','7.490','SA/V','10.012','10.119','10.000','ELEMENTAL','ANALYSIS','TUB','3-140-3','3-140-7','TU-140-28','(OET.','LIM.)','18A','AS','UN','Al','(.03)','0.035','0.056','As','(.08)','B','(.01)','0.170','0.014','0.180','0.189','0.013','0.190','0.029','Be','(.002)','0.006','0.003','0.008','0.002','0.004','Ca','12.000','0.443','11.000','12.600','0.119','0.472','Cd','(.004)','Ce','(.04)','Co','Cr','(.02)','0.005','Cu','0.022','0.024','0.076','Dy','Eu','Fe','(.005)','0.085','0.015','0.031','0.238','Gd','K','(.3)','5.800','0.062','5.700','5.550','0.215','5.900','0.103','La','(.008)','0.080','0.105','0.012','Li','0.058','0.050','0.053','0.001','0.059','Mg','(.06)','2.000','0.067','1.810','1.980','0.045','0.077','Mn','mo','0.007','0.016','Na','59.000','1.510','45.800','50.000','0.306','52.000','1.150','id','Ni','0.011','0.017','P','(.1)','Pb','Ru','(.05)','Sb','Si','29.000','0.818','28.000','0.271','0.787','Sr','0.037','0.041','le','Ti','Zn','0.610','0.028','1.630','0.046','0.019','0.480','Zr','Cs','F','(.130)','CL','(.015)','M03(','.040)','504(.300)','18*','-','18','Angstrom','Filtered','Solution','Acid','Strip','Unfiltered','0.45u','45','microns','50A','50','*','No','Anion','Analysis','(a)','Blanks','Indicate','Elements','Below','Detection','Limits','C.1'}
@ATTRIBUTE 'table' {'0','1'}

@DATA
950.0,60.0,113.0,0.0,480.0,0.0,90.0,27.0,'LEACH','0'
1063.0,60.0,229.0,113.0,480.0,0.0,205.0,42.0,'TEST-1-DATi','0'
1292.0,60.0,128.0,229.0,480.0,0.0,105.0,30.0,'(GLASS','0'
1420.0,60.0,132.0,128.0,480.0,0.0,105.0,33.0,'ONLY),','0'
1552.0,60.0,92.0,132.0,480.0,0.0,70.0,27.0,'TUFF','0'
1644.0,60.0,1169.0,92.0,480.0,0.0,94.0,28.0,'WATER','0'
479.0,150.0,94.0,1169.0,480.0,480.0,73.0,27.0,'TEST','0'
573.0,150.0,397.0,94.0,95.0,480.0,184.0,28.0,'PARAMETERS','0'
970.0,150.0,377.0,397.0,95.0,480.0,185.0,27.0,'TU83-I40-3','0'
1347.0,150.0,528.0,377.0,95.0,480.0,181.0,28.0,'TU83-140-7','0'
1875.0,150.0,1418.0,528.0,95.0,480.0,202.0,28.0,'7U83-I40-28','0'
461.0,243.0,94.0,1418.0,95.0,95.0,72.0,28.0,'DATE','0'
555.0,243.0,73.0,94.0,39.0,95.0,51.0,26.0,'RUN','0'
628.0,243.0,306.0,73.0,39.0,95.0,90.0,28.0,'BEGAN','0'
934.0,243.0,394.0,306.0,39.0,95.0,165.0,29.0,'15-JAN-83','0'
1328.0,243.0,565.0,394.0,39.0,95.0,165.0,28.0,'21-JAN-83','0'
1893.0,243.0,1433.0,565.0,39.0,95.0,166.0,28.0,'21-JAN-83','0'
461.0,282.0,93.0,1433.0,39.0,39.0,69.0,29.0,'DATE','0'
554.0,282.0,74.0,93.0,38.0,39.0,50.0,26.0,'RUN','0'
628.0,282.0,305.0,74.0,38.0,39.0,89.0,27.0,'ENDED','0'
933.0,282.0,394.0,305.0,38.0,39.0,165.0,28.0,'18-JAN-83','0'
1327.0,282.0,566.0,394.0,38.0,39.0,164.0,28.0,'28-JAN-83','0'
1893.0,282.0,1431.0,566.0,38.0,39.0,163.0,28.0,'18-FEB-83','0'
463.0,319.0,168.0,1431.0,38.0,38.0,144.0,29.0,'SPECIMEN','0'
631.0,319.0,54.0,168.0,37.0,38.0,33.0,27.0,'SA','0'
685.0,319.0,288.0,54.0,37.0,38.0,53.0,28.0,'mm2','0'
973.0,319.0,396.0,288.0,37.0,38.0,126.0,28.0,'194.440','0'
1369.0,319.0,562.0,396.0,37.0,38.0,124.0,28.0,'187.800','0'
1931.0,319.0,1469.0,562.0,37.0,38.0,128.0,28.0,'202.600','0'
463.0,356.0,168.0,1469.0,37.0,37.0,144.0,29.0,'SPECIMEN','0'
631.0,356.0,109.0,168.0,39.0,37.0,88.0,30.0,'IN1.1..','0'
740.0,356.0,267.0,109.0,39.0,37.0,128.0,35.0,'WT.(gm)','0'
1007.0,356.0,395.0,267.0,39.0,37.0,91.0,28.0,'0.483','0'
1402.0,356.0,565.0,395.0,39.0,37.0,88.0,29.0,'0.397','0'
1967.0,356.0,1504.0,565.0,39.0,37.0,91.0,28.0,'0.462','0'
464.0,394.0,165.0,1504.0,39.0,39.0,144.0,29.0,'SPECIMEN','0'
